cell,size
641,476
642,469
643,441
644,472
645,442
646,467
647,480
648,490
649,460
650,465
651,436
652,453
653,468
654,441
655,450
656,433
657,471
658,420
659,467
660,471
661,453
662,453
663,421
664,486
665,449
666,478
667,488
668,454
669,460
670,486
671,474
672,464
673,455
674,487
675,456
676,481
677,485
678,406
679,429
680,438
681,415
682,446
683,424
684,432
685,460
686,458
687,473
688,469
689,475
690,412
691,452
692,459
693,453
694,477
695,456
696,461
697,456
698,457
699,482
700,461
701,435
702,473
703,455
704,444
705,452
706,485
707,489
708,446
709,470
710,443
711,435
712,470
713,496
714,512
715,466
716,461
717,472
718,445
719,440
720,481
721,447
722,434
723,460
724,468
725,478
726,463
727,464
728,427
729,455
730,428
731,431
732,455
733,485
734,477
735,485
736,453
737,482
738,433
739,499
740,470
741,470
742,466
743,464
744,456
745,464
746,481
747,482
748,496
749,408
750,475
751,455
752,442
753,467
754,437
755,468
756,432
757,493
758,469
759,468
760,458
761,431
762,472
763,445
764,473
765,456
766,449
767,458
768,439
769,475
770,449
771,481
772,445
773,462
774,455
775,456
776,449
777,477
778,446
779,429
780,494
781,458
782,442
783,466
784,477
785,543
786,445
787,452
788,442
789,434
790,514
791,486
792,485
793,460
794,490
795,467
796,457
797,439
798,449
799,485
800,478
801,504
802,455
803,488
804,479
805,462
806,439
807,450
808,476
809,454
810,466
811,448
812,440
813,480
814,483
815,478
816,451
817,452
818,498
819,478
820,464
821,466
822,437
823,447
824,488
825,433
826,464
827,477
828,457
829,486
830,472
831,482
832,458
833,432
834,452
835,451
836,450
837,491
838,497
839,472
840,433
841,464
842,448
843,457
844,473
845,426
846,469
847,419
848,462
849,460
850,473
851,455
852,447
853,461
854,415
855,444
856,428
857,500
858,486
859,480
860,426
861,435
862,460
863,446
864,411
865,442
866,438
867,429
868,473
869,461
870,447
871,447
872,495
873,480
874,438
875,478
876,460
877,464
878,452
879,468
880,400
881,463
882,480
883,463
884,441
885,408
886,461
887,453
888,486
889,451
890,446
891,468
892,467
893,489
894,479
895,430
896,458
897,467
898,416
899,462
900,408
901,449
902,461
903,467
904,447
905,492
906,483
907,432
908,493
909,471
910,466
911,498
912,444
913,494
914,455
915,459
916,446
917,481
918,460
919,475
920,448
921,455
922,476
923,483
924,483
925,425
926,474
927,411
928,437
929,437
930,454
931,448
932,457
933,448
934,467
935,481
936,470
937,429
938,463
939,449
940,436
941,462
942,425
943,490
944,447
945,448
946,473
947,478
948,478
949,465
950,418
951,481
952,439
953,474
954,441
955,466
956,476
957,448
958,482
959,461
960,471
961,463
962,475
963,480
964,443
965,471
966,456
967,430
968,484
969,457
970,468
971,459
972,466
973,461
974,462
975,450
976,456
977,441
978,443
979,452
980,482
981,466
982,455
983,463
984,437
985,456
986,455
987,466
988,456
989,482
990,476
991,463
992,464
993,469
994,458
995,466
996,443
997,453
998,452
999,460
1000,469
1001,482
1002,480
1003,449
1004,477
1005,460
1006,458
1007,493
1008,467
1009,440
1010,459
1011,478
1012,470
1013,494
1014,485
1015,433
1016,420
1017,459
1018,466
1019,463
1020,486
